caller_no,called_no,starttime,duration_sec,deviceid,cell_id
9810000001,1800000000,2024-01-15T09:55:00Z,120,,Cell-101
9810000001,9820000002,2024-01-15T09:58:00Z,45,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:00:00Z,30,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:00:45Z,25,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:01:20Z,10,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:01:40Z,15,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:02:00Z,40,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:02:50Z,10,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:03:10Z,5,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:03:20Z,20,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:03:50Z,12,490154203237518,Cell-102
9820000002,9830000003,2024-01-15T10:04:10Z,18,490154203237518,Cell-102
9830000003,9840000004,2024-01-15T10:05:00Z,60,490154203237518,Cell-102
9840000004,9850000005,2024-01-15T11:30:00Z,120,490154203237518,Cell-105
9899999001,9899999002,2024-01-15T09:00:00Z,300,,Cell-201
9899999003,9899999004,2024-01-15T09:10:00Z,150,,Cell-202
9899999005,9899999006,2024-01-15T09:20:00Z,45,,Cell-203
9899999007,9899999008,2024-01-15T09:30:00Z,60,,Cell-204
9899999009,9899999010,2024-01-15T09:40:00Z,120,,Cell-205
9899999011,9899999012,2024-01-15T09:50:00Z,30,,Cell-206
9899999013,9899999014,2024-01-15T10:10:00Z,90,,Cell-207
9899999015,9899999016,2024-01-15T10:20:00Z,210,,Cell-208
9899999017,9899999018,2024-01-15T10:30:00Z,15,,Cell-209
9899999019,9899999020,2024-01-15T10:40:00Z,40,,Cell-210
9899999021,9899999022,2024-01-15T10:50:00Z,75,,Cell-211
9899999023,9899999024,2024-01-15T11:00:00Z,105,,Cell-212
9899999025,9899999026,2024-01-15T11:10:00Z,180,,Cell-213
9899999027,9899999028,2024-01-15T11:20:00Z,25,,Cell-214
9899999029,9899999030,2024-01-15T11:40:00Z,50,,Cell-215
