ip_address,phone_number,session_start,session_end,bytes_transferred,port
192.168.10.42,9810000001,2024-01-15T10:00:10Z,2024-01-15T10:02:00Z,102400,443
192.168.10.42,9820000002,2024-01-15T10:02:05Z,2024-01-15T10:04:30Z,204800,443
192.168.10.42,9830000003,2024-01-15T10:03:50Z,2024-01-15T10:05:15Z,153600,443
10.0.0.55,9840000004,2024-01-15T11:30:00Z,2024-01-15T11:45:00Z,512000,443
8.8.8.8,9899999001,2024-01-15T09:00:00Z,2024-01-15T09:10:00Z,10000,80
8.8.4.4,9899999002,2024-01-15T09:15:00Z,2024-01-15T09:20:00Z,20000,80
1.1.1.1,9899999003,2024-01-15T09:30:00Z,2024-01-15T09:40:00Z,30000,443
1.0.0.1,9899999004,2024-01-15T09:45:00Z,2024-01-15T09:50:00Z,40000,443
9.9.9.9,9899999005,2024-01-15T10:15:00Z,2024-01-15T10:20:00Z,50000,443
149.112.112.112,9899999006,2024-01-15T10:30:00Z,2024-01-15T10:45:00Z,60000,80
208.67.222.222,9899999007,2024-01-15T11:00:00Z,2024-01-15T11:10:00Z,70000,80
208.67.220.220,9899999008,2024-01-15T11:15:00Z,2024-01-15T11:20:00Z,80000,443
8.26.56.26,9899999009,2024-01-15T11:45:00Z,2024-01-15T11:50:00Z,90000,443
8.20.247.20,9899999010,2024-01-15T12:00:00Z,2024-01-15T12:10:00Z,100000,443
